"","V1"
"1","1.764"
"2","(0.068)"
"3","1.509"
"4","(0.058)"
"5","1.252"
"6","(0.056)"
"7","0.999"
"8","(0.067)"
"9","0.753"
"10","(0.074)"
"11","0.497"
"12","(0.098)"
